Watching for file changes with StatReloader
Watching for file changes with StatReloader
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\mixins.py", line 38, in list
    queryset = self.filter_queryset(self.get_queryset())
                                    ^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\chats\views.py", line 74, in get_queryset
    ).distinct().order_by('-updated_at')
                 ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\db\models\query.py", line 1722, in order_by
    obj.query.add_ordering(*field_names)
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\db\models\sql\query.py", line 2291, in add_ordering
    self.names_to_path(item.split(LOOKUP_SEP), self.model._meta)
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\db\models\sql\query.py", line 1805, in names_to_path
    raise FieldError(
django.core.exceptions.FieldError: Cannot resolve keyword 'updated_at' into field. Choices are: conversation_id, created_at, messages, participants
"GET /api/conversations/ HTTP/1.1" 500 126450
"GET /api/messages/ HTTP/1.1" 200 16865
"GET /api/users/ HTTP/1.1" 200 18135
Internal Server Error: /api/conversations/
Traceback (most recent call last):
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\viewsets.py", line 125, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
